id,cuisine
18009,mexican
28583,mexican
41580,mexican
29752,mexican
35687,mexican
38527,mexican
19666,mexican
41217,mexican
28753,mexican
22659,mexican
21749,mexican
44967,mexican
42969,mexican
44883,mexican
20827,mexican
23196,mexican
35387,mexican
33780,mexican
19001,mexican
16526,mexican
42455,mexican
47453,mexican
42478,mexican
11885,mexican
16585,mexican
29639,mexican
26245,mexican
38516,mexican
47520,mexican
26212,mexican
23696,mexican
14926,mexican
13292,mexican
27346,mexican
1384,chinese
15959,mexican
42297,mexican
46235,mexican
21181,mexican
9809,mexican
22982,mexican
23120,mexican
26743,mexican
12741,mexican
7050,mexican
22437,mexican
14760,mexican
10649,mexican
48065,mexican
39931,chinese
32935,mexican
40142,mexican
19103,mexican
38267,mexican
30512,mexican
3324,mexican
26197,mexican
384,mexican
47230,mexican
39748,mexican
41038,mexican
24878,mexican
42624,mexican
45706,mexican
8874,mexican
23878,mexican
47234,mexican
24075,mexican
46323,mexican
22562,mexican
11358,mexican
9201,mexican
38620,mexican
47638,mexican
21238,mexican
11053,mexican
46602,mexican
13937,mexican
21876,mexican
20798,mexican
24381,mexican
48178,mexican
45832,mexican
27560,mexican
23247,mexican
28975,mexican
43230,mexican
9126,mexican
13021,mexican
28194,mexican
25617,mexican
36125,mexican
16454,mexican
1607,mexican
38526,mexican
18755,mexican
12035,mexican
16047,mexican
15419,mexican
16971,mexican
31459,mexican
27888,mexican
13900,mexican
12376,mexican
1658,mexican
29431,mexican
22290,mexican
28464,mexican
37953,mexican
20814,mexican
35987,mexican
2329,italian
43237,mexican
30647,mexican
16675,mexican
37722,mexican
32438,mexican
20287,mexican
43296,mexican
6237,mexican
48560,mexican
20810,mexican
34951,mexican
31850,mexican
47745,mexican
37815,mexican
9872,italian
5592,mexican
27411,mexican
39320,mexican
40247,mexican
19792,mexican
40754,mexican
14365,mexican
14468,mexican
47563,mexican
19611,mexican
7163,mexican
43069,mexican
27505,mexican
36500,mexican
25932,mexican
817,italian
8471,mexican
48250,mexican
9413,mexican
12097,indian
8416,mexican
5892,italian
676,mexican
47015,mexican
21891,mexican
14630,mexican
36195,mexican
25981,mexican
39964,mexican
28298,mexican
31954,mexican
26620,mexican
14932,mexican
47426,mexican
1038,southern_us
8077,southern_us
37141,mexican
45447,mexican
9624,mexican
45589,mexican
7265,mexican
31844,mexican
13046,mexican
9867,mexican
29184,mexican
34783,mexican
2823,mexican
18932,mexican
11112,mexican
12859,mexican
9365,italian
44516,southern_us
18193,mexican
46545,mexican
9900,mexican
14815,mexican
39690,mexican
22193,mexican
11739,mexican
27311,mexican
36920,mexican
7861,french
29248,mexican
43142,mexican
7574,mexican
8610,mexican
989,mexican
46926,mexican
40816,mexican
39726,mexican
42229,mexican
10474,italian
22140,mexican
31985,mexican
46165,mexican
20860,mexican
42494,mexican
15968,mexican
20484,mexican
26661,mexican
47182,mexican
22528,mexican
3861,mexican
1203,italian
45040,mexican
33287,mexican
10097,mexican
42005,mexican
12423,mexican
39613,mexican
30276,mexican
18686,mexican
3031,french
40093,mexican
182,mexican
46591,mexican
4092,chinese
13722,mexican
44575,mexican
14989,mexican
13270,italian
25529,mexican
12140,mexican
23127,mexican
13523,mexican
41270,mexican
8362,mexican
11735,mexican
27935,mexican
28198,mexican
37765,mexican
33856,mexican
30198,mexican
42521,mexican
21567,mexican
36995,mexican
24967,mexican
45002,mexican
48925,mexican
36914,mexican
2280,southern_us
14729,mexican
4594,italian
2237,mexican
45631,mexican
2317,chinese
23079,mexican
29333,mexican
48066,mexican
15737,mexican
30580,mexican
1119,french
46336,mexican
5026,mexican
10749,mexican
31020,mexican
30805,mexican
27653,mexican
35060,mexican
39174,mexican
49509,mexican
31784,mexican
31408,mexican
36029,mexican
11045,mexican
6561,mexican
26992,mexican
31179,mexican
35099,mexican
11018,chinese
17930,mexican
21302,mexican
46352,mexican
25132,mexican
7010,mexican
25850,mexican
19601,mexican
7935,mexican
34994,mexican
25113,mexican
45523,mexican
34977,mexican
7124,mexican
27514,mexican
27178,mexican
47880,mexican
29197,mexican
16347,mexican
20333,mexican
29112,mexican
7510,mexican
13897,mexican
35699,mexican
20520,mexican
38920,mexican
21775,mexican
37475,mexican
40131,mexican
1939,mexican
48268,mexican
34815,mexican
13797,mexican
39063,mexican
29064,mexican
26896,mexican
29477,mexican
3352,french
4966,mexican
7316,russian
23879,mexican
16525,mexican
32843,mexican
39574,mexican
32737,mexican
44788,mexican
28772,mexican
34189,mexican
33719,mexican
25846,mexican
1423,indian
4328,mexican
579,italian
5219,indian
2314,mexican
31143,mexican
13409,mexican
3281,mexican
15804,mexican
40835,mexican
39262,mexican
37013,mexican
14807,mexican
47956,mexican
2580,mexican
13720,mexican
23008,mexican
5951,indian
39312,mexican
6176,southern_us
17617,mexican
57,mexican
43422,mexican
49403,mexican
44751,mexican
21865,mexican
26584,mexican
39355,mexican
14038,mexican
45396,mexican
49715,mexican
41515,mexican
30445,mexican
4090,mexican
17207,mexican
40376,mexican
19398,mexican
22347,mexican
49671,mexican
40854,mexican
926,chinese
47919,mexican
20571,mexican
18866,mexican
48742,mexican
14577,mexican
29481,mexican
40996,mexican
34470,mexican
31147,mexican
35932,mexican
27221,mexican
48301,mexican
29925,mexican
48640,mexican
22873,mexican
10565,mexican
15509,mexican
37569,mexican
13306,mexican
40474,mexican
15182,mexican
8609,chinese
32168,mexican
1125,mexican
25244,mexican
46889,mexican
13841,mexican
47135,mexican
29036,mexican
43533,mexican
41631,mexican
22124,mexican
18836,mexican
35695,mexican
5141,mexican
41894,mexican
4972,mexican
34195,mexican
14183,mexican
15188,mexican
8734,mexican
30946,mexican
5588,mexican
49554,mexican
1270,indian
1259,southern_us
45986,mexican
22351,mexican
300,mexican
9278,mexican
10021,mexican
17014,mexican
40855,mexican
18362,mexican
16292,mexican
29924,mexican
47174,mexican
4856,mexican
15417,mexican
19875,mexican
42228,mexican
36264,mexican
14571,mexican
23496,mexican
43879,mexican
23431,mexican
5499,french
247,southern_us
48795,mexican
47113,mexican
489,mexican
13036,mexican
4838,italian
40630,mexican
17576,mexican
29972,mexican
8123,mexican
35918,mexican
42669,mexican
24632,mexican
35740,mexican
45670,mexican
28041,mexican
46688,mexican
10309,mexican
15367,mexican
30562,mexican
47151,mexican
47300,mexican
31200,mexican
5749,southern_us
41807,mexican
13990,mexican
23572,mexican
872,southern_us
38085,mexican
5248,southern_us
26309,mexican
26880,mexican
41559,mexican
8059,mexican
26041,mexican
30019,mexican
7207,mexican
30309,mexican
2092,mexican
8023,chinese
4016,mexican
24631,mexican
35068,mexican
8523,mexican
28463,mexican
8629,mexican
43829,mexican
22129,mexican
34505,mexican
38200,mexican
36513,mexican
32187,mexican
7788,mexican
31130,mexican
40483,mexican
2224,mexican
14143,mexican
22889,mexican
17406,mexican
10451,mexican
19844,mexican
23416,mexican
33874,mexican
39951,mexican
41361,mexican
44659,mexican
8836,mexican
21709,mexican
22993,mexican
39191,mexican
17182,mexican
20507,mexican
42397,mexican
18897,mexican
3797,mexican
11041,mexican
807,mexican
3514,mexican
12936,mexican
15050,mexican
43377,mexican
10471,mexican
30721,mexican
14333,mexican
6260,mexican
7712,mexican
19048,mexican
21455,mexican
18575,mexican
47647,mexican
35947,mexican
14499,mexican
43525,mexican
5723,mexican
48497,mexican
43822,mexican
525,mexican
30594,mexican
47948,mexican
2099,mexican
43863,mexican
24711,mexican
15230,mexican
21680,mexican
36218,mexican
41622,mexican
34809,mexican
5110,italian
27214,mexican
34803,mexican
36822,mexican
6912,mexican
20373,mexican
29157,mexican
6327,mexican
35502,mexican
8305,mexican
35598,mexican
48538,mexican
49358,mexican
44506,mexican
39146,mexican
29270,mexican
20560,mexican
24169,mexican
41537,mexican
10431,mexican
31517,mexican
34049,mexican
26964,mexican
49655,mexican
9101,mexican
30377,mexican
7046,indian
47969,mexican
18971,mexican
38891,mexican
29506,mexican
40305,mexican
21255,indian
15578,mexican
24894,mexican
32089,mexican
46097,mexican
40982,mexican
12543,mexican
38366,mexican
32925,mexican
17506,mexican
48389,mexican
41804,mexican
9961,mexican
24939,mexican
39599,mexican
45838,mexican
48875,mexican
25531,mexican
3009,cajun_creole
31965,mexican
16901,mexican
13370,mexican
2954,mexican
40353,mexican
8207,mexican
10933,mexican
38206,mexican
14110,mexican
19128,mexican
32616,mexican
27748,mexican
31858,mexican
20510,mexican
17602,mexican
35665,mexican
46589,mexican
8178,mexican
34880,mexican
42527,mexican
29682,mexican
32166,mexican
30343,mexican
15385,mexican
18372,mexican
29211,mexican
23269,mexican
4561,mexican
27365,mexican
49032,mexican
22064,mexican
12060,mexican
47834,mexican
25815,mexican
34036,mexican
19326,mexican
44078,mexican
31090,mexican
17485,mexican
708,mexican
5350,mexican
29754,mexican
18309,mexican
46871,mexican
27300,mexican
41890,mexican
49548,mexican
11392,mexican
1354,mexican
48819,mexican
19097,mexican
42113,mexican
24060,mexican
